joueur,equipe,equipe_periode,poste,age,valeur_marchande,contrat,minutes,pays_naissance,passeport,pied,taille,poids,prete,actions_def_90,duels_def_90,duels_def_pct,duels_aeriens_90,duels_aeriens_pct,tacles_padj,tirs_contres_90,interceptions_padj,fautes_90,xg_90,tirs_90,tirs_cible_pct,dribbles_90,dribbles_pct,duels_off_90,courses_prog_90,accelerations_90,fautes_subies_90,passes_90,passes_pct,passes_avant_90,passes_avant_pct,passes_longues_90,passes_longues_pct,xa_90,secondes_pd_90,passes_judicieuses_90,passes_quasi_pd_90,passes_tiers_adv_90,passes_tiers_adv_pct,passes_surface_90,passes_surface_pct,passes_penetrantes_90,passes_prog_90,passes_prog_pct,ligue,equipe_norm,score_bloc,score_pressing,score_avec_ballon,score_transition_off,label_bloc,label_pressing,label_avec_ballon,label_transition_off,actions_def_90_adj,duels_def_90_adj,tacles_padj_adj,interceptions_padj_adj,tirs_contres_90_adj,passes_90_adj,passes_pct_adj,passes_prog_90_adj,passes_avant_90_adj,passes_tiers_adv_90_adj,courses_prog_90_adj,accelerations_90_adj,dribbles_90_adj,actions_def_90_adj_pct,duels_def_90_adj_pct,tacles_padj_adj_pct,interceptions_padj_adj_pct,tirs_contres_90_adj_pct,passes_90_adj_pct,passes_pct_adj_pct,passes_prog_90_adj_pct,passes_avant_90_adj_pct,passes_tiers_adv_90_adj_pct,courses_prog_90_adj_pct,accelerations_90_adj_pct,dribbles_90_adj_pct,xg_90_pct,xa_90_pct,secondes_pd_90_pct,passes_quasi_pd_90_pct,passes_surface_90_pct,passes_penetrantes_90_pct,passes_judicieuses_90_pct,duels_def_pct_pct,duels_aeriens_pct_pct,score_mc_recuperateur,score_mc_mdef,score_mc_relanceur,score_mc_boxtbox,score_mc_interieur,score_mc_offensif,impact_contexte,niveau_fiabilite
Gerard Gumbau,Rayo Vallecano,Rayo Vallecano,"LDMF, AMF, RCMF",31.0,3000000,2027-06-30,864,Spain,Spain,gauche,187,77,oui,6.88,6.46,51.61,2.29,31.82,1.65,0.21,3.45,2.81,0.04,1.04,50.0,0.94,88.89,2.4,0.31,0.0,0.42,31.98,82.41,8.33,56.25,3.33,56.25,0.05,0.21,0.1,0.31,5.63,55.56,1.35,61.54,0.42,3.85,75.68,Liga,rayo vallecano,43.25,86.875,64.5,47.49999999999999,Bloc médian,Pressing intensif,Équilibré,Mixte,5.91911125,5.55777015625,1.419554296875,2.9681589843750005,0.180670546875,29.601167699999998,76.27993215,3.56361775,7.71037295,5.21121245,0.31453375000000006,0.0,0.9537475000000001,21.100917431192663,40.825688073394495,94.12997903563941,12.368972746331238,45.642201834862384,13.302752293577983,17.431192660550458,16.28440366972477,11.697247706422019,48.1651376146789,14.220183486238533,21.444954128440365,53.669724770642205,40.022935779816514,64.10550458715596,96.78899082568807,74.6559633027523,57.68348623853211,63.646788990825684,59.518348623853214,17.201834862385322,20.642201834862387,34.35938010886081,36.1086251995461,36.620377468395475,38.253196172012174,45.109327217125376,47.161424202708616,-0.10702453124999999,echantillon_moyen
Unai López,Rayo Vallecano,Rayo Vallecano,"LDMF, RDMF, LCMF",30.0,3000000,2026-06-30,1308,Spain,Spain,droite,170,68,non,6.33,5.5,48.75,1.51,31.82,1.56,0.14,3.94,1.65,0.06,1.17,23.53,0.69,60.0,3.44,0.96,0.07,0.62,52.84,86.59,14.17,66.99,6.47,44.68,0.09,0.0,0.0,0.21,8.05,64.1,1.93,35.71,0.55,6.33,76.09,Liga,rayo vallecano,43.25,86.875,64.5,47.49999999999999,Bloc médian,Pressing intensif,Équilibré,Mixte,5.445926484375001,4.73184765625,1.3421240625000002,3.3897235937500003,0.12044703125000002,48.909496600000004,80.14900285,5.85914295,13.11596455,7.451200750000001,0.97404,0.07102375000000001,0.70009125,12.844036697247708,20.18348623853211,93.29140461215934,17.81970649895178,33.715596330275226,85.09174311926606,36.00917431192661,63.30275229357798,65.36697247706422,82.79816513761467,56.19266055045872,52.06422018348624,35.55045871559633,53.78440366972477,82.56880733944955,31.76605504587156,61.12385321100917,79.47247706422019,75.3440366972477,22.477064220183486,10.550458715596331,20.642201834862387,37.72623598369012,31.581485728848115,58.21590578127275,51.827872433377024,59.73050458715597,58.15776539973788,-0.10702453124999997,rotation
M. Vecino,Celta de Vigo,Celta de Vigo,"LCMF, RCB",34.0,2500000,2027-06-30,88,Uruguay,"Uruguay, Italy",droite,187,81,non,9.2,8.18,62.5,9.2,44.44,0.0,0.0,6.0,2.05,0.01,2.05,0.0,1.02,100.0,2.05,1.02,0.0,0.0,57.27,87.5,21.48,71.43,2.05,0.0,0.0,0.0,0.0,0.0,10.23,80.0,1.02,0.0,0.0,6.14,83.33,Liga,celta de vigo,24.57142857142857,10.5,70.75,66.5,Bloc bas,Bloc passif,Possession,Contre-attaque,10.519141999999999,9.3528893,0.0,6.860309999999999,0.0,51.61938386250001,78.866703125,5.5341892249999995,19.36064895,9.2206442625,0.9356817000000001,0.0,0.9356817000000001,94.26605504587155,95.87155963302753,14.360587002096437,86.37316561844864,10.894495412844037,88.76146788990825,30.045871559633024,58.02752293577982,97.01834862385321,94.72477064220183,54.58715596330275,21.444954128440365,52.293577981651374,13.876146788990825,11.238532110091743,31.76605504587156,14.678899082568808,42.201834862385326,9.747706422018348,22.477064220183486,63.417431192660544,51.146788990825684,61.67016232954437,55.96694747369838,57.82800672343256,52.94671192001121,37.9375,38.454292267365666,-0.01798250000000005,faible_echantillon
Dani Parejo,Villarreal,Villarreal,"LCMF, RCMF",36.0,2500000,2026-06-30,1152,Spain,Spain,droite,182,74,non,9.45,4.92,65.08,0.94,58.33,1.84,0.63,5.18,0.86,0.0,0.16,0.0,0.47,50.0,2.81,0.63,0.0,1.33,44.84,87.98,13.44,79.65,4.45,52.63,0.08,0.08,0.16,0.16,6.88,77.27,1.25,62.5,0.55,6.88,78.41,Liga,villarreal,62.0,50.0,32.5,89.5,Bloc médian,Pressing modéré,Jeu direct,Contre-attaque,9.45,4.92,1.84,5.18,0.63,48.724265,95.6012675,7.47598,14.604239999999999,7.47598,0.53966745,0.0,0.40260904999999997,85.09174311926606,23.165137614678898,96.0167714884696,64.36058700209644,94.4954128440367,83.71559633027523,90.13761467889908,87.61467889908256,78.89908256880734,83.25688073394495,26.834862385321102,21.444954128440365,19.26605504587156,5.5045871559633035,78.6697247706422,80.38990825688074,53.21100917431193,52.522935779816514,75.3440366972477,74.42660550458714,78.55504587155964,83.71559633027523,78.25532824130173,77.58672862212221,76.12626734093327,63.710234344733216,65.12691131498471,58.68965705548275,0.043312500000000004,rotation
Pablo Martínez,Levante,Levante,"LDMF, RCMF, LW",28.0,2500000,2026-06-30,1313,Spain,Spain,droite,182,74,non,6.99,4.52,56.06,1.23,50.0,0.97,0.62,3.88,1.37,0.11,1.58,13.04,1.58,47.83,4.11,1.3,0.21,0.48,28.65,76.32,10.08,59.86,4.11,46.67,0.1,0.0,0.14,0.34,4.46,55.38,1.65,25.0,0.96,4.66,66.18,Liga,levante,34.4,56.625,7.250000000000001,52.0,Bloc médian,Pressing modéré,Jeu direct,Mixte,6.7305552281250005,4.3522331375,0.933996934375,3.7359877375,0.59698773125,32.8571450625,87.5273058,5.344303525000001,11.5602102,5.114934275,1.284712,0.2075304,1.5614192,36.23853211009174,14.220183486238533,87.0020964360587,26.41509433962264,92.88990825688074,27.06422018348624,66.97247706422019,54.81651376146789,48.1651376146789,45.18348623853211,69.72477064220183,75.68807339449542,77.52293577981652,80.96330275229357,85.3211009174312,31.76605504587156,79.35779816513761,71.44495412844036,93.80733944954129,69.26605504587155,31.76605504587156,64.44954128440367,52.01631529725156,54.160805901756014,55.19592747375334,59.42691873356579,70.36353211009174,67.19528178243775,0.054864843750000045,rotation
Manu Morlanes,Mallorca,Mallorca,"LDMF, RDMF, LCMF",27.0,2500000,2028-06-30,1234,Spain,Spain,droite,178,75,non,7.66,6.13,66.67,1.09,60.0,0.37,0.15,4.14,1.02,0.05,0.44,33.33,0.66,66.67,2.77,1.53,0.15,0.51,45.29,90.5,14.66,83.58,2.63,61.11,0.04,0.07,0.07,0.22,6.27,79.07,1.75,54.17,0.44,6.42,72.73,Liga,mallorca,43.5,43.0,33.75,30.0,Bloc médian,Pressing modéré,Équilibré,Jeu placé,7.959199600000001,6.3694378,0.3844522,4.3017084,0.155859,48.9882115625,97.88989062499999,6.944233125,15.857080625,6.7819846875,1.6768800000000001,0.16440000000000002,0.7233600000000001,63.99082568807339,59.63302752293578,58.07127882599581,40.88050314465409,41.05504587155963,85.3211009174312,94.4954128440367,81.65137614678899,85.77981651376146,75.45871559633028,83.02752293577981,69.95412844036697,37.84403669724771,47.706422018348626,57.22477064220184,76.72018348623854,62.15596330275229,74.54128440366972,66.1697247706422,53.096330275229356,84.74770642201835,86.12385321100918,63.152471246129295,60.96636927086339,72.67202933911435,66.40521526249412,67.91494648318043,68.24104412407166,0.060358125000000026,rotation
Edu Expósito,Espanyol,Espanyol,"LCMF, LDMF, AMF",29.0,2500000,2027-06-30,1959,Spain,Spain,droite,178,68,non,6.75,5.83,63.78,1.65,36.11,0.21,0.09,3.32,0.96,0.07,1.1,41.67,2.07,66.67,6.2,1.38,0.32,1.52,35.83,76.92,13.64,70.03,4.18,50.55,0.33,0.09,0.18,0.6,7.12,67.74,4.18,43.96,0.83,6.75,88.44,Liga,espanyol,30.0,55.125,26.0,56.5,Bloc bas,Pressing modéré,Jeu direct,Mixte,6.5530750781250005,5.659915215625,0.203873446875,3.2231421124999997,0.087374334375,39.751235199999996,85.3381248,7.48872,15.1327616,7.8992128,1.3296782999999999,0.3083312,1.9945174499999998,30.963302752293576,43.34862385321101,38.9937106918239,15.30398322851153,27.75229357798165,54.58715596330275,57.56880733944955,88.07339449541286,82.11009174311926,87.38532110091744,71.3302752293578,85.09174311926606,86.23853211009175,60.09174311926605,100.0,83.37155963302753,95.29816513761467,99.08256880733946,89.56422018348624,78.55504587155964,71.3302752293578,28.899082568807337,41.922861010135975,36.01798920046929,68.5657478616627,65.05580833683656,83.78803516819573,82.27501092179992,0.04013296875,rotation
Hugo Sotelo,Celta de Vigo,Celta de Vigo,"RCMF, LCMF",22.0,2500000,2028-06-30,1196,Spain,Spain,droite,180,76,non,7.0,5.49,52.05,0.53,71.43,0.09,0.6,5.06,1.66,0.01,0.23,66.67,0.23,0.0,2.71,1.58,0.0,0.9,57.87,91.29,15.58,79.71,3.46,58.7,0.11,0.08,0.15,0.3,9.33,84.68,0.83,63.64,0.3,7.22,72.92,Liga,celta de vigo,24.57142857142857,10.5,70.75,66.5,Bloc bas,Bloc passif,Possession,Contre-attaque,8.003694999999999,6.27718365,0.10290464999999999,5.785528099999999,0.686031,52.1601841125,82.28275803750002,6.5076296750000004,14.042779825,8.4094438875,1.4493893,0.0,0.21098705,64.6788990825688,58.256880733944946,32.914046121593294,74.21383647798741,96.3302752293578,90.13761467889908,47.477064220183486,75.22935779816514,74.08256880733946,92.43119266055045,76.14678899082568,21.444954128440365,9.63302752293578,13.876146788990825,87.38532110091744,80.38990825688074,72.70642201834863,30.619266055045873,51.72018348623853,71.3302752293578,18.23394495412844,95.06880733944955,68.2221404804493,64.32341372877119,69.35752683740394,61.15135141818542,65.30256116207951,58.1755133245959,0.022359374999999994,rotation
Pablo Ibáñez,Deportivo Alavés,Deportivo Alavés,"RCMF, AMF",27.0,2500000,2030-06-30,1887,Spain,Spain,droite,179,74,non,7.63,5.63,52.54,2.62,41.82,0.52,0.52,5.83,1.43,0.16,1.81,28.95,3.15,40.91,10.49,2.05,0.62,2.58,39.3,86.29,9.44,72.73,2.29,54.17,0.05,0.05,0.1,0.24,5.2,69.72,1.43,36.67,0.1,3.67,79.22,Liga,deportivo alaves,42.42028985507246,70.0,48.75,32.5,Bloc médian,Pressing intensif,Équilibré,Jeu placé,6.89752,5.08952,0.47008000000000005,5.27032,0.47008000000000005,39.591065625,86.9290853125,3.6971809375,9.509915,5.238512500000001,2.2275812499999996,0.6737075,3.4228687499999997,38.99082568807339,27.06422018348624,64.36058700209644,66.24737945492663,85.3211009174312,54.12844036697248,64.44954128440367,17.889908256880734,29.587155963302752,48.853211009174316,94.4954128440367,96.3302752293578,98.39449541284404,88.76146788990825,64.10550458715596,70.64220183486239,64.44954128440367,61.12385321100917,23.05045871559633,59.518348623853214,20.18348623853211,46.330275229357795,51.54118823687804,55.029494355009334,50.33539336339233,61.42778423469093,58.56632262996942,63.94222367846222,-0.044296874999999965,rotation
Unai Vencedor,Levante,Levante,"RCMF, RDMF, LCMF",25.0,2200000,2027-06-30,885,Spain,Spain,droite,176,70,oui,8.64,8.34,52.44,2.95,58.62,0.37,0.61,4.78,2.44,0.0,0.0,0.0,0.1,100.0,3.15,0.31,0.0,1.02,39.76,84.4,13.22,70.77,5.9,56.9,0.12,0.0,0.0,0.41,7.02,78.26,2.24,40.91,0.41,6.92,77.94,Liga,levante,34.4,56.625,7.250000000000001,52.0,Bloc médian,Pressing modéré,Jeu direct,Mixte,8.319312900000002,8.03044786875,0.356266871875,4.60258283125,0.587358896875,45.5986069,96.79382350000002,7.93617605,15.161307425000002,8.050860675,0.3063544,0.0,0.09882400000000001,71.90366972477065,89.6788990825688,54.926624737945495,48.21802935010482,92.43119266055045,77.06422018348624,91.97247706422019,89.90825688073394,82.33944954128441,88.76146788990825,13.53211009174312,21.444954128440365,6.422018348623854,5.5045871559633035,89.56422018348624,31.76605504587156,86.58256880733946,86.92660550458714,62.27064220183486,22.477064220183486,19.954128440366972,84.74770642201835,73.3040541515204,72.4426353066759,75.34465903377104,60.994817296833915,61.17450305810398,54.519440803844475,0.05486484375000005,echantillon_moyen
